หมายเลข,party_name, คะแนน 
1,ไทยทรัพย์ทวี," 304,197 "
2,เพื่อชาติไทย," 678,238 "
3,ใหม่," 311,582 "
4,มิติใหม่," 244,416 "
5,รวมใจไทย," 430,616 "
7,พลวัต," 115,698 "
8,ประชาธิปไตยใหม่," 280,178 "
10,ทางเลือกใหม่," 177,163 "
13,รวมพลังประชาชน," 196,841 "
14,ท้องที่ไทย," 48,046 "
15,อนาคตไทย," 30,386 "
16,พลังเพื่อไทย," 71,964 "
17,ไทยชนะ," 52,181 "
18,พลังสังคมใหม่," 11,796 "
19,สังคมประชาธิปไตยไทย," 19,535 "
20,ฟิวชัน," 13,637 "
21,ไทยรวมพลัง," 166,371 "
22,ก้าวอิสระ," 17,877 "
23,ปวงชนไทย," 28,488 "
24,วินัยไทย," 43,372 "
25,เพื่อชีวิตใหม่," 14,107 "
26,คลองไทย," 41,540 "
28,ไทยก้าวหน้า," 51,492 "
29,ไทยภักดี," 247,004 "
30,แรงงานสร้างชาติ," 54,416 "
31,ประชากรไทย," 70,849 "
32,ครูไทยเพื่อประชาชน," 56,218 "
34,สร้างอนาคตไทย," 59,737 "
36,ไทยพร้อม," 79,946 "
38,พลังธรรมใหม่," 90,272 "
39,กรีน," 24,305 "
40,ไทยธรรม," 21,916 "
41,แผ่นดินธรรม," 14,039 "
45,เป็นธรรม," 40,958 "
47,ประชาไทย," 64,913 "
50,ประชาอาสาชาติ," 5,780 "
51,พร้อม," 17,597 "
52,เครือข่ายชาวนาแห่งประเทศไทย," 9,076 "
53,ไทยภักดีธรรม," 5,669 "
54,ความหวังใหม่," 9,538 "
55,ไทยรวมไทย," 8,110 "
56,เพื่อบ้านเมือง," 24,649 "
57,พลังไทยรักชาติ," 21,798 "
58,รักษ์ธรรม, -   
59,รวมพลัง, -   
60,สัมมาธิปไตย, -   
,ค่าเฉลี่ยพรคคเล็ก10+," 49,015 "
,,
,,
,,
,,
